dieu_kien,so_nguoi,so_nguoi_nghi,ty_le_nghi_pct
TotalWorkingYears <= 2.50 VÀ JobRole_Research Scientist <= 0.50 VÀ Age <= 28.50 VÀ MonthlyIncome <= 2378.50,20,17,85.0
TotalWorkingYears <= 2.50 VÀ JobRole_Research Scientist <= 0.50 VÀ Age <= 28.50 VÀ MonthlyIncome > 2378.50,20,13,65.0
TotalWorkingYears > 2.50 VÀ OverTime_Yes > 0.50 VÀ MonthlyIncome <= 2476.00,37,23,62.2
TotalWorkingYears > 2.50 VÀ OverTime_Yes > 0.50 VÀ MonthlyIncome > 2476.00 VÀ EnvironmentSatisfaction <= 2.50 VÀ StockOptionLevel <= 0.50,41,22,53.7
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked > 4.50 VÀ Age <= 37.50 VÀ StockOptionLevel <= 0.50,35,18,51.4
TotalWorkingYears <= 2.50 VÀ JobRole_Research Scientist <= 0.50 VÀ Age > 28.50,29,13,44.8
TotalWorkingYears > 2.50 VÀ OverTime_Yes > 0.50 VÀ MonthlyIncome > 2476.00 VÀ EnvironmentSatisfaction > 2.50 VÀ MaritalStatus_Single > 0.50,45,11,24.4
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked <= 4.50 VÀ BusinessTravel_Non-Travel <= 0.50 VÀ WorkLifeBalance <= 1.50,25,6,24.0
TotalWorkingYears <= 2.50 VÀ JobRole_Research Scientist > 0.50,27,6,22.2
TotalWorkingYears > 2.50 VÀ OverTime_Yes > 0.50 VÀ MonthlyIncome > 2476.00 VÀ EnvironmentSatisfaction <= 2.50 VÀ StockOptionLevel > 0.50,50,10,20.0
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked > 4.50 VÀ Age <= 37.50 VÀ StockOptionLevel > 0.50,47,6,12.8
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked > 4.50 VÀ Age > 37.50 VÀ YearsInCurrentRole > 2.50,60,6,10.0
TotalWorkingYears > 2.50 VÀ OverTime_Yes > 0.50 VÀ MonthlyIncome > 2476.00 VÀ EnvironmentSatisfaction > 2.50 VÀ MaritalStatus_Single <= 0.50,140,10,7.1
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked <= 4.50 VÀ BusinessTravel_Non-Travel <= 0.50 VÀ WorkLifeBalance > 1.50,492,29,5.9
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked <= 4.50 VÀ BusinessTravel_Non-Travel > 0.50,64,0,0.0
TotalWorkingYears > 2.50 VÀ OverTime_Yes <= 0.50 VÀ NumCompaniesWorked > 4.50 VÀ Age > 37.50 VÀ YearsInCurrentRole <= 2.50,44,0,0.0
