age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,was_contacted_before,xac_suat_dong_y
31,management,single,tertiary,no,533,no,no,cellular,11,feb,1,91,9,success,1,0.9485652481015578
60,retired,married,secondary,no,523,no,no,cellular,11,feb,1,182,3,success,1,0.9473792651654668
20,student,single,secondary,no,215,no,no,cellular,24,feb,1,92,6,success,1,0.9446802076322546
28,student,single,secondary,no,1925,no,no,cellular,26,feb,1,93,3,success,1,0.9440454710166146
57,management,married,tertiary,no,10583,no,no,cellular,28,sep,3,98,3,success,1,0.9427578325137175
48,management,married,tertiary,no,2351,no,no,cellular,15,sep,1,105,3,success,1,0.9422970530131891
51,management,married,tertiary,no,469,no,no,cellular,14,oct,1,182,3,success,1,0.9415148352941106
33,management,single,tertiary,no,935,no,no,cellular,9,feb,2,92,8,success,1,0.9414907156889847
31,management,single,tertiary,no,3384,no,no,cellular,22,mar,3,187,3,success,1,0.9412894989564887
28,management,single,tertiary,no,187,no,no,cellular,9,jun,1,92,1,success,1,0.9412113727921941
27,student,single,tertiary,no,1134,no,no,cellular,21,oct,1,183,4,success,1,0.9411443161894969
41,unemployed,married,tertiary,no,0,no,no,cellular,29,apr,1,181,3,success,1,0.9405258028868922
35,self-employed,single,tertiary,no,353,no,no,cellular,11,feb,1,183,1,success,1,0.9404313141012696
33,management,single,tertiary,no,224,no,no,cellular,23,sep,2,92,4,success,1,0.9402850466506849
36,management,married,tertiary,no,2161,no,no,cellular,8,sep,2,183,5,success,1,0.9397272396166576
33,unemployed,married,secondary,no,1211,no,no,cellular,11,feb,1,188,1,success,1,0.9395944213797788
36,services,married,secondary,no,4721,no,no,cellular,9,jun,1,92,5,success,1,0.9395250084120785
25,student,single,secondary,no,469,no,no,cellular,24,feb,1,187,2,success,1,0.938583251169848
72,retired,married,secondary,no,5715,no,no,cellular,17,may,1,181,2,success,1,0.9385523215608
74,retired,married,tertiary,no,1843,no,no,cellular,15,sep,2,184,3,success,1,0.9381784986843532
33,management,single,tertiary,no,1781,no,no,cellular,8,oct,2,183,1,success,1,0.9378137446738154
29,management,single,tertiary,no,1445,no,no,cellular,26,apr,2,143,2,success,1,0.9371842232484504
36,management,married,tertiary,no,495,no,no,cellular,5,aug,3,97,2,success,1,0.9368051056734251
60,services,single,secondary,no,739,no,no,cellular,15,jul,1,182,1,success,1,0.9367670511782413
36,services,married,unknown,no,618,no,no,cellular,13,jul,1,335,2,success,1,0.9354789384034919
47,management,married,tertiary,no,699,no,no,cellular,5,aug,3,97,2,success,1,0.9353654701165294
37,management,married,tertiary,no,57,no,no,cellular,30,apr,2,84,1,success,1,0.935338505063553
32,services,married,secondary,no,914,no,no,cellular,29,dec,1,197,1,success,1,0.9351095311423492
39,management,married,tertiary,no,2939,no,no,cellular,29,jun,1,165,2,success,1,0.9339173620702168
62,retired,married,secondary,no,243,no,no,cellular,25,jan,1,280,1,success,1,0.9329974707129807
30,management,single,tertiary,no,5359,no,no,cellular,26,feb,1,191,3,success,1,0.9326219943108279
34,unemployed,single,tertiary,no,1974,no,no,cellular,22,jul,1,342,3,success,1,0.9325794813261852
45,admin.,married,secondary,no,205,no,no,cellular,3,feb,1,92,1,success,1,0.9320261682192611
34,management,married,tertiary,no,1778,no,no,cellular,5,feb,1,93,3,success,1,0.9313088809702742
54,unknown,married,secondary,no,2206,no,no,cellular,11,feb,1,91,3,success,1,0.93087082317807
38,services,married,secondary,no,2678,no,no,cellular,28,sep,2,187,1,success,1,0.9305314675611156
56,management,married,unknown,no,4623,no,no,cellular,25,feb,1,192,1,success,1,0.930477408674201
35,blue-collar,married,secondary,no,262,no,no,cellular,15,mar,1,181,3,success,1,0.9298806928439685
30,management,single,tertiary,no,572,no,no,cellular,17,jun,3,183,2,success,1,0.9296038281632962
74,retired,married,secondary,no,935,no,no,cellular,25,oct,1,173,3,success,1,0.9288075086653471
51,management,married,tertiary,no,469,no,no,cellular,15,apr,1,181,2,success,1,0.9286333197072083
60,admin.,married,secondary,no,12980,no,no,cellular,3,sep,2,182,1,success,1,0.9285544585714948
36,technician,married,tertiary,no,341,no,no,cellular,12,feb,2,183,1,success,1,0.9282068267670738
41,unemployed,single,tertiary,no,7968,no,no,cellular,2,sep,1,184,4,success,1,0.927365688460934
31,technician,single,secondary,no,2544,no,no,cellular,15,jul,1,184,3,success,1,0.9273338082763375
59,unemployed,married,secondary,no,1047,no,no,cellular,21,aug,1,184,3,success,1,0.927225855175761
37,technician,single,tertiary,no,197,no,no,cellular,15,feb,1,91,2,success,1,0.9266530162965323
61,management,married,secondary,no,544,no,no,cellular,29,dec,3,200,9,success,1,0.9260226109412144
40,admin.,married,secondary,no,732,no,no,cellular,9,sep,1,139,4,success,1,0.9255371603513792
42,unemployed,married,secondary,no,1289,no,no,cellular,15,oct,3,92,6,success,1,0.9250822480808776
62,admin.,married,secondary,no,4608,no,no,cellular,14,sep,1,186,1,success,1,0.9240000392798159
24,management,single,tertiary,no,1506,no,no,cellular,12,jun,2,95,4,success,1,0.9236633489370454
66,retired,married,primary,no,1004,no,no,cellular,28,apr,1,182,1,success,1,0.92321330898325
48,unemployed,married,secondary,no,926,no,no,cellular,12,aug,2,178,10,success,1,0.9224324023640014
64,retired,divorced,primary,no,109,no,no,cellular,23,jun,1,225,2,success,1,0.9223108766617903
29,self-employed,single,tertiary,no,1579,no,no,cellular,13,jul,1,181,4,success,1,0.9219727840996584
36,admin.,married,secondary,no,96,no,no,cellular,30,apr,1,87,1,success,1,0.9211044435128741
72,retired,married,tertiary,no,3561,no,no,telephone,15,sep,3,184,7,success,1,0.9208400430304448
38,technician,married,tertiary,no,3234,no,no,cellular,8,apr,1,141,2,success,1,0.9206008273530343
53,management,married,tertiary,no,1624,no,no,cellular,30,apr,3,84,3,success,1,0.9203686328878774
44,technician,single,unknown,no,11115,no,no,cellular,25,oct,1,185,4,success,1,0.9198800660119371
44,management,single,tertiary,no,483,no,no,cellular,6,mar,2,199,6,success,1,0.9197761807074335
46,admin.,married,secondary,no,974,no,no,cellular,5,jun,2,80,1,success,1,0.9194865621563043
30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,2,93,4,success,1,0.9193914557950561
37,technician,married,tertiary,no,341,no,no,cellular,13,aug,3,182,3,success,1,0.9188906248521924
