dac_trung,he_so_w,odds_ratio
cat__cp_2,1.0708014268815305,2.9177168999806327
cat__cp_3,0.8379937914027876,2.311724519863573
num__thalach,0.651009252854595,1.9174750699685907
cat__thal_2,0.5638710969393149,1.7574626574526049
cat__cp_1,0.41461414789006995,1.5137865302631974
cat__restecg_1,0.32454710454153596,1.3834039667076217
cat__slope_2,0.21925837250201693,1.2451529484128527
cat__thal_1,0.1994751795900319,1.220761909243901
cat__ca_4,0.1591279955262946,1.172488010296729
num__age,0.10453666987964044,1.1101961038773032
cat__fbs_1,0.00946910052821456,1.0095140743022653
cat__restecg_2,-0.032885655516218144,0.9676491986115277
num__chol,-0.18674882663407522,0.8296520967267058
num__trestbps,-0.19380018079191463,0.8238225033832257
cat__slope_1,-0.3035714458574132,0.7381771475485079
num__oldpeak,-0.3583360908491854,0.6988381624213005
cat__ca_3,-0.5913417557927564,0.5535840116461276
cat__thal_3,-0.6834558433801866,0.5048692251305912
cat__exang_1,-0.7359261909465614,0.4790615509634885
cat__sex_1,-0.9288865730408726,0.3949932617683301
cat__ca_1,-0.9899167448400187,0.37160762798671515
cat__ca_2,-1.2121391822129457,0.2975600629178935
