age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,was_contacted_before,xac_suat_dong_y
54,unknown,married,secondary,no,2206,no,no,cellular,11,feb,1,91,3,success,1,0.9375
60,retired,married,secondary,no,523,no,no,cellular,11,feb,1,182,3,success,1,0.9225
43,management,married,tertiary,no,2987,no,no,cellular,11,mar,3,-1,0,unknown,1,0.9225
25,student,single,secondary,no,469,no,no,cellular,24,feb,1,187,2,success,1,0.9125
31,management,single,tertiary,no,533,no,no,cellular,11,feb,1,91,9,success,1,0.905
20,student,single,secondary,no,215,no,no,cellular,24,feb,1,92,6,success,1,0.89
36,services,married,secondary,no,4721,no,no,cellular,9,jun,1,92,5,success,1,0.885
48,unemployed,married,secondary,no,926,no,no,cellular,15,feb,4,185,6,success,1,0.885
33,management,single,tertiary,no,935,no,no,cellular,9,feb,2,92,8,success,1,0.8825
51,management,married,tertiary,no,469,no,no,cellular,14,oct,1,182,3,success,1,0.875
62,retired,married,secondary,no,243,no,no,cellular,25,jan,1,280,1,success,1,0.87
28,management,single,tertiary,no,187,no,no,cellular,9,jun,1,92,1,success,1,0.865
72,retired,married,secondary,no,5715,no,no,cellular,17,may,1,181,2,success,1,0.8575
30,management,single,tertiary,no,572,no,no,cellular,17,jun,3,183,2,success,1,0.855
36,management,married,tertiary,no,495,no,no,cellular,5,aug,3,97,2,success,1,0.855
47,management,married,tertiary,no,699,no,no,cellular,5,aug,3,97,2,success,1,0.8475
35,blue-collar,married,secondary,no,1454,yes,no,cellular,12,aug,1,182,4,success,1,0.845
77,management,married,unknown,no,1780,yes,no,cellular,23,oct,2,183,3,success,1,0.8425
48,unemployed,married,secondary,no,926,no,no,cellular,12,aug,2,178,10,success,1,0.8425
36,management,married,tertiary,no,2161,no,no,cellular,8,sep,2,183,5,success,1,0.84
34,unemployed,single,tertiary,no,1974,no,no,cellular,22,jul,1,342,3,success,1,0.84
38,services,married,secondary,no,2678,no,no,cellular,28,sep,2,187,1,success,1,0.84
31,management,single,tertiary,no,3384,no,no,cellular,22,mar,3,187,3,success,1,0.8375
32,management,single,tertiary,no,1619,no,no,cellular,17,mar,1,321,2,success,1,0.8375
59,unemployed,married,secondary,no,1047,no,no,cellular,21,aug,1,184,3,success,1,0.835
33,management,single,tertiary,no,1781,no,no,cellular,8,oct,2,183,1,success,1,0.835
40,admin.,married,secondary,no,732,no,no,cellular,9,sep,1,139,4,success,1,0.83
51,management,married,tertiary,no,469,no,no,cellular,15,apr,1,181,2,success,1,0.83
54,management,married,tertiary,no,1624,no,no,cellular,12,may,3,182,10,success,1,0.82
57,management,married,tertiary,no,10583,no,no,cellular,28,sep,3,98,3,success,1,0.8175
32,services,married,secondary,no,914,no,no,cellular,29,dec,1,197,1,success,1,0.8175
33,technician,married,secondary,no,133,no,no,cellular,12,nov,2,192,1,success,1,0.8125
28,student,single,secondary,no,1925,no,no,cellular,26,feb,1,93,3,success,1,0.8125
33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,1,80,2,success,1,0.8125
64,retired,divorced,primary,no,109,no,no,cellular,23,jun,1,225,2,success,1,0.81
41,unemployed,single,tertiary,no,7968,no,no,cellular,2,sep,1,184,4,success,1,0.8075
46,admin.,married,secondary,no,974,no,no,cellular,5,jun,2,80,1,success,1,0.8025
60,services,single,secondary,no,739,no,no,cellular,15,jul,1,182,1,success,1,0.8025
31,student,single,tertiary,no,64,no,no,cellular,15,sep,1,105,2,success,1,0.8
66,retired,married,primary,no,1004,no,no,cellular,28,apr,1,182,1,success,1,0.8
56,management,married,unknown,no,4623,no,no,cellular,25,feb,1,192,1,success,1,0.8
33,unemployed,married,secondary,no,1211,no,no,cellular,11,feb,1,188,1,success,1,0.7975
30,management,single,tertiary,no,5359,no,no,cellular,26,feb,1,191,3,success,1,0.795
29,management,single,tertiary,no,1445,no,no,cellular,26,apr,2,143,2,success,1,0.79
21,student,single,secondary,no,123,no,no,telephone,11,nov,1,91,1,success,1,0.79
73,retired,married,primary,no,253,no,no,cellular,20,apr,1,-1,0,unknown,1,0.7875
72,retired,married,tertiary,no,3561,no,no,telephone,15,sep,3,184,7,success,1,0.7875
36,services,married,unknown,no,618,no,no,cellular,13,jul,1,335,2,success,1,0.785
42,management,married,tertiary,no,1205,no,no,telephone,15,mar,1,188,2,success,1,0.785
68,retired,divorced,primary,no,2027,no,no,cellular,14,sep,2,91,4,success,1,0.7825
31,technician,single,secondary,no,2544,no,no,cellular,15,jul,1,184,3,success,1,0.7775
35,blue-collar,married,secondary,no,262,no,no,cellular,15,mar,1,181,3,success,1,0.7775
59,unemployed,married,secondary,no,1625,no,no,cellular,4,aug,1,180,2,success,1,0.7775
62,admin.,married,secondary,no,4608,no,no,cellular,14,sep,1,186,1,success,1,0.775
76,retired,married,tertiary,no,2991,no,no,cellular,25,jan,1,95,2,success,1,0.7725
61,management,married,secondary,no,544,no,no,cellular,29,dec,3,200,9,success,1,0.7725
55,admin.,married,secondary,no,8304,no,no,cellular,1,sep,1,92,1,success,1,0.7725
69,retired,married,unknown,no,426,no,no,telephone,10,sep,2,185,2,success,1,0.77
39,services,single,secondary,no,91,no,no,cellular,3,sep,1,185,1,success,1,0.77
33,management,single,tertiary,no,224,no,no,cellular,23,sep,2,92,4,success,1,0.77
41,unemployed,married,tertiary,no,0,no,no,cellular,29,apr,1,181,3,success,1,0.7675
36,technician,married,tertiary,no,341,no,no,cellular,12,feb,2,183,1,success,1,0.7675
35,technician,single,tertiary,no,670,no,no,cellular,13,apr,4,182,2,success,1,0.7675
45,management,married,unknown,no,2724,no,no,cellular,28,jun,2,182,1,success,1,0.7625
74,retired,married,tertiary,no,1843,no,no,cellular,15,sep,2,184,3,success,1,0.7625
43,blue-collar,married,secondary,no,2160,no,no,cellular,2,jun,1,-1,0,unknown,1,0.7625
24,technician,married,secondary,no,556,yes,no,cellular,8,feb,1,94,4,success,1,0.76
75,retired,married,secondary,no,3771,no,no,telephone,15,apr,1,181,2,success,1,0.76
58,management,married,tertiary,no,473,no,no,cellular,18,feb,1,262,1,success,1,0.7575
80,retired,married,secondary,no,8304,no,no,telephone,6,apr,1,118,11,success,1,0.7575
60,technician,married,secondary,no,259,no,no,cellular,6,jul,1,386,2,success,1,0.755
69,retired,divorced,secondary,no,4572,no,no,cellular,27,jan,2,92,3,success,1,0.7525
58,management,married,secondary,no,2155,no,yes,cellular,11,aug,2,182,7,success,1,0.7525
29,self-employed,single,tertiary,no,1579,no,no,cellular,13,jul,1,181,4,success,1,0.7475
