StockCode,Description,cum,ten_cum
10002,INFLATABLE POLITICAL GLOBE ,2,"Hang theo mua, dot bien, so luong lon"
10080,GROOVY CACTUS INFLATABLE,2,"Hang theo mua, dot bien, so luong lon"
10120,DOGGY RUBBER,2,"Hang theo mua, dot bien, so luong lon"
10124A,SPOTS ON RED BOOKCOVER TAPE,1,"Hang cao cap, gia tri cao, it lap lai"
10125,MINI FUNKY DESIGN TAPES,2,"Hang theo mua, dot bien, so luong lon"
10133,COLOURING PENCILS BROWN TUBE,4,"Hang trung binh, on dinh quanh nam"
10135,COLOURING PENCILS BROWN TUBE,4,"Hang trung binh, on dinh quanh nam"
11001,ASSTD DESIGN RACING CAR PEN,4,"Hang trung binh, on dinh quanh nam"
15030,FAN BLACK FRAME ,2,"Hang theo mua, dot bien, so luong lon"
15034,PAPER POCKET TRAVELING FAN ,4,"Hang trung binh, on dinh quanh nam"
15036,ASSORTED COLOURS SILK FAN,4,"Hang trung binh, on dinh quanh nam"
15039,SANDALWOOD FAN,4,"Hang trung binh, on dinh quanh nam"
15044A,PINK PAPER PARASOL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
15044B,BLUE PAPER PARASOL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
15044C,PURPLE PAPER PARASOL,0,"Hang ban chay, gia thap, mua thuong xuyen"
15044D,RED PAPER PARASOL,2,"Hang theo mua, dot bien, so luong lon"
15056BL,EDWARDIAN PARASOL BLACK,4,"Hang trung binh, on dinh quanh nam"
15056N,EDWARDIAN PARASOL NATURAL,4,"Hang trung binh, on dinh quanh nam"
15056P,EDWARDIAN PARASOL PINK,0,"Hang ban chay, gia thap, mua thuong xuyen"
15056bl,EDWARDIAN PARASOL BLACK,1,"Hang cao cap, gia tri cao, it lap lai"
15056n,EDWARDIAN PARASOL NATURAL,1,"Hang cao cap, gia tri cao, it lap lai"
15056p,EDWARDIAN PARASOL PINK,1,"Hang cao cap, gia tri cao, it lap lai"
15058A,BLUE POLKADOT GARDEN PARASOL,0,"Hang ban chay, gia thap, mua thuong xuyen"
15058B,PINK POLKADOT GARDEN PARASOL,0,"Hang ban chay, gia thap, mua thuong xuyen"
15058C,ICE CREAM DESIGN GARDEN PARASOL,0,"Hang ban chay, gia thap, mua thuong xuyen"
15060B,FAIRY CAKE DESIGN UMBRELLA,0,"Hang ban chay, gia thap, mua thuong xuyen"
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2,"Hang theo mua, dot bien, so luong lon"
16011,ANIMAL STICKERS,2,"Hang theo mua, dot bien, so luong lon"
16012,FOOD/DRINK SPONGE STICKERS,2,"Hang theo mua, dot bien, so luong lon"
16014,SMALL CHINESE STYLE SCISSOR,4,"Hang trung binh, on dinh quanh nam"
16015,MEDIUM CHINESE STYLE SCISSOR,2,"Hang theo mua, dot bien, so luong lon"
16016,LARGE CHINESE STYLE SCISSOR,2,"Hang theo mua, dot bien, so luong lon"
16020C,CLEAR STATIONERY BOX SET ,3,"Hang moi/it nguoi biet, doanh thu thap"
16045,POPART WOODEN PENCILS ASST,4,"Hang trung binh, on dinh quanh nam"
16046,TEATIME PEN CASE & PENS,1,"Hang cao cap, gia tri cao, it lap lai"
16048,TEATIME ROUND PENCIL SHARPENER ,2,"Hang theo mua, dot bien, so luong lon"
16049,TEATIME GEL PENS ASST,2,"Hang theo mua, dot bien, so luong lon"
16052,TEATIME PUSH DOWN RUBBER,2,"Hang theo mua, dot bien, so luong lon"
16054,POPART RECT PENCIL SHARPENER ASST,2,"Hang theo mua, dot bien, so luong lon"
16156L,"WRAP, CAROUSEL",2,"Hang theo mua, dot bien, so luong lon"
16156S,WRAP PINK FAIRY CAKES ,4,"Hang trung binh, on dinh quanh nam"
16161G,WRAP BAD HAIR DAY,2,"Hang theo mua, dot bien, so luong lon"
16161P,WRAP ENGLISH ROSE ,4,"Hang trung binh, on dinh quanh nam"
16161U,WRAP SUKI AND FRIENDS,4,"Hang trung binh, on dinh quanh nam"
16162L,THE KING GIFT BAG,1,"Hang cao cap, gia tri cao, it lap lai"
16162M,THE KING GIFT BAG 25x24x12cm,1,"Hang cao cap, gia tri cao, it lap lai"
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2,"Hang theo mua, dot bien, so luong lon"
16169E,WRAP 50'S  CHRISTMAS,4,"Hang trung binh, on dinh quanh nam"
16169K,WRAP FOLK ART,1,"Hang cao cap, gia tri cao, it lap lai"
16169M,WRAP DAISY CARPET ,2,"Hang theo mua, dot bien, so luong lon"
16207A,PINK STRAWBERRY HANDBAG ,3,"Hang moi/it nguoi biet, doanh thu thap"
16207B,PINK HEART RED HANDBAG,3,"Hang moi/it nguoi biet, doanh thu thap"
16216,LETTER SHAPE PENCIL SHARPENER,2,"Hang theo mua, dot bien, so luong lon"
16218,CARTOON  PENCIL SHARPENERS,2,"Hang theo mua, dot bien, so luong lon"
16219,HOUSE SHAPE PENCIL SHARPENER,2,"Hang theo mua, dot bien, so luong lon"
16225,RATTLE SNAKE EGGS,2,"Hang theo mua, dot bien, so luong lon"
16235,RECYCLED PENCIL WITH RABBIT ERASER,4,"Hang trung binh, on dinh quanh nam"
16236,KITTY PENCIL ERASERS,2,"Hang theo mua, dot bien, so luong lon"
16237,SLEEPING CAT ERASERS,4,"Hang trung binh, on dinh quanh nam"
16238,PARTY TIME PENCIL ERASERS,2,"Hang theo mua, dot bien, so luong lon"
16248B,BLUE HOLE PUNCH,1,"Hang cao cap, gia tri cao, it lap lai"
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1,"Hang cao cap, gia tri cao, it lap lai"
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2,"Hang theo mua, dot bien, so luong lon"
16259,PIECE OF CAMO STATIONERY SET,2,"Hang theo mua, dot bien, so luong lon"
17003,BROCADE RING PURSE ,4,"Hang trung binh, on dinh quanh nam"
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1,"Hang cao cap, gia tri cao, it lap lai"
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,2,"Hang theo mua, dot bien, so luong lon"
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2,"Hang theo mua, dot bien, so luong lon"
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,2,"Hang theo mua, dot bien, so luong lon"
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,2,"Hang theo mua, dot bien, so luong lon"
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,3,"Hang moi/it nguoi biet, doanh thu thap"
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,"Hang theo mua, dot bien, so luong lon"
17013D,ORIGAMI ROSE INCENSE IN TUBE,2,"Hang theo mua, dot bien, so luong lon"
17014A,ORIGAMI VANILLA INCENSE CONES,2,"Hang theo mua, dot bien, so luong lon"
17021,NAMASTE SWAGAT INCENSE,2,"Hang theo mua, dot bien, so luong lon"
17038,PORCELAIN BUDAH INCENSE HOLDER,2,"Hang theo mua, dot bien, so luong lon"
17084A,TRANQUILITY MASALA INCENSE,2,"Hang theo mua, dot bien, so luong lon"
17084J,LOVE POTION MASALA INCENSE,2,"Hang theo mua, dot bien, so luong lon"
17084N,FAIRY DREAMS INCENSE ,2,"Hang theo mua, dot bien, so luong lon"
17084P,DRAGONS BLOOD INCENSE,2,"Hang theo mua, dot bien, so luong lon"
